"Settings","Configurações"
"Attribute for CPF/CNPJ", "Atributo para CPF/CNPJ"
"Enable Logs?", "Habilitar Logs?"
"Address Mapping", "Mapeamento de endereço"
"Attribute for Street", "Atributo de rua"
"Attribute for Street Number", "Atributo de número"
"Attribute for Neighborhood", "Atributo de bairro"
"Attribute for Complement", "Atributo de complemento"
"Payment Mapping", "Mapeamento de pagamento"
"Customer Mapping","Mapeamento de cliente"
"Credit Card Map", "Método de cartão de crédito"
"Debit Card Map", "Método de cartão de débito"
"Boleto Map", "Método de Boleto"
"Transfer Map", "Método de transferência bancária"
"Voucher Map", "Método de Voucher",
"Production", "Produção"
"Sandbox", "Homologação"
"Yes", "Sim"
"No", "Não"
"Enable Module?", "Habilitar Módulo?"
"Cron Settings","Configurações da Cron"
"Frequency","Frequencia"
"Start Time","Hora de início"
"Manage Status","Gerenciamento de status"
"Enable automatic order update by Konduto?","Habilitar atualização automática do pedido pela Konduto?"
"Status after Approved","Status após aprovado"
"Status after Declined","Status após recusado"
"Status after Not Authorized","Status após não autorizado"
"Status after Canceled","Status após cancelado"
"Status after Fraud","Status após fraude"
"Allowed payment methods","Meios de pagamento permitidos"
"Mass create order quantity","Quantidade de pedidos que serão enviados para análise da Konduto"
"Sandbox Private Key","Chave Privada do ambiente de testes"
"Sandbox Public Key","Chave Pública do ambiente de testes"
"Production Private Key","Chave Privada do ambiente de produção"
"Production Public Key","Chave Pública do ambiente de produção"
"PXXXXXXXXXX (11 characters)","PXXXXXXXXXX (11 caracteres)"
"TXXXXXXXXXX (11 characters)","TXXXXXXXXXX (11 caracteres)"
"PXXXXXXXXXXXXXXXXXXXX (21 characters)","PXXXXXXXXXXXXXXXXXXXX (21 caracteres)"
"TXXXXXXXXXXXXXXXXXXXX (21 characters)","TXXXXXXXXXXXXXXXXXXXX (21 caracteres)"
"Store Environment","Ambiente da loja"
"Cron Start Time","Hora de início da Cron"
"Cron Execution Frequency","Frequência de execução da Cron"
